"","shortPostCode","population2019","population2020","population2021","population2022"
"340","CH44",30081.8939374807,30250.7301887356,30420.5140425516,30591.2508173992
"341","CH45",31028.1753507042,31202.3226573991,31377.44737524,31553.5549899997
"342","CH46",25623.0078734709,25766.8183863403,25911.4360434651,26056.865374986
"343","CH47",10970.2273505374,11031.7983428801,11093.7149057363,11155.978978639
"344","CH48",15291.3444946624,15377.1679899015,15463.4731741338,15550.2627508649
"345","CH49",28938.512463692,29100.9314247925,29264.2619710673,29428.5092188372
"346","CH5 ",42763.6738547625,43003.6872794003,43245.0477923216,43487.7629541318
"347","CH6 ",17214.0756977266,17310.6906254856,17407.8478097345,17505.5502939172
"348","CH60",13157.4346552784,13231.2814665179,13305.5427469661,13380.2208228539
"349","CH61",17688.7248231693,17788.0037447302,17887.8398745899,17988.23634011
"350","CH62",28893.2598987663,29055.4248774069,29218.5000157315,29382.4904220603
